Grapheme	GraphFrequency	WordFrequency	Difference
!	2904	2904	0
(	370	370	0
)	420	420	0
:	1682	1682	0
;	5972	5972	0
=	6	6	0
?	2836	2836	0
[	113	113	0
]	113	113	0
‘	846	846	0
’	824	824	0
“	7070	7070	0
”	5945	5945	0
.	39783	39779	4
9	79	17	62
8	149	13	136
6	170	19	151
7	179	10	169
4	205	25	180
5	242	10	232
3	250	15	235
,	59696	59381	315
2	399	28	371
1	441	13	428
—	806	220	586
-	6485	105	6380
O	7027	7	7020
E	10367	3102	7265
I	17287	8644	8643
A	14192	1041	13151
i	339617	1	339616
e	394560	7073	387487
a	494935	1360	493575
