Grapheme	GraphFrequency	WordFrequency	Difference
!	3207	3207	0
(	1	1	0
)	1	1	0
.	40133	40133	0
:	9032	9032	0
?	3195	3195	0
[	3	3	0
]	3	3	0
“	17	17	0
„	17	17	0
…	5	5	0
;	1529	1527	2
Ó	77	15	62
,	68346	68259	87
—	1394	1305	89
U	905	20	885
Z	2448	379	2069
O	3025	116	2909
I	3142	50	3092
ó	3929	4	3925
S	4178	94	4084
V	5873	955	4918
A	6725	858	5867
K	6699	81	6618
z	62680	5355	57325
u	77812	299	77513
k	89102	2980	86122
s	140114	3480	136634
v	145496	7642	137854
i	186341	2053	184288
a	272608	28058	244550
o	313975	1882	312093
