Grapheme	GraphFrequency	WordFrequency	Difference
!	2068	2068	0
(	38	38	0
)	38	38	0
:	7770	7770	0
;	1237	1237	0
?	2651	2651	0
»	5424	5424	0
—	1382	1382	0
’	418	418	0
,	46979	46978	1
.	40247	40242	5
«	5424	5419	5
…	17	12	5
9	50	2	48
[	70	3	67
]	70	2	68
Å	89	2	87
8	108	8	100
7	155	15	140
6	164	10	154
4	179	16	163
3	233	37	196
5	276	16	260
1	400	60	340
2	410	37	373
-	576	14	562
I	3415	619	2796
O	3112	15	3097
A	4698	3	4695
y	15042	1	15041
ö	51982	3	51979
å	55409	2	55407
i	150932	13640	137292
o	141129	47	141082
