Grapheme	GraphFrequency	WordFrequency	Difference
!	1358	1358	0
)	1250	1250	0
:	4183	4183	0
;	5273	5273	0
?	3083	3083	0
‘	1693	1693	0
’	1287	1287	0
…	3	3	0
(	1250	1249	1
“	7984	7983	1
”	6046	6045	1
.	32659	32656	3
Ń	4	1	3
9	50	3	47
—	158	48	110
7	131	1	130
6	138	4	134
E	164	7	157
4	162	2	160
5	183	4	179
3	200	1	199
Ó	2905	2691	214
1	219	1	218
,	55279	55030	249
2	275	1	274
Ǹ	496	2	494
I	607	4	603
A	1223	563	660
Ò	842	1	841
Ẹ	2451	1545	906
ǹ	1342	9	1333
ń	10694	8887	1807
Í	3144	2	3142
Á	3402	5	3397
À	3655	9	3646
È	3937	32	3905
Ọ	6087	10	6077
N	8817	41	8776
O	9214	133	9081
h	11348	1	11347
e	25024	613	24411
ẹ	27624	3162	24462
u	27593	253	27340
ṣ	27776	1	27775
è	29006	283	28723
ù	32638	51	32587
ó	62500	23354	39146
ò	41592	106	41486
é	43269	400	42869
o	53301	2673	50628
s	68609	1	68608
ú	76298	167	76131
a	84618	7226	77392
ọ	89338	1853	87485
w	88934	1	88933
l	89712	1	89711
á	92439	984	91455
ì	104175	270	103905
r	104174	2	104172
à	116157	519	115638
i	120549	1991	118558
í	180157	1780	178377
n	246081	381	245700
