Grapheme	GraphFrequency	WordFrequency	Difference
!	6215	6215	0
(	5	5	0
)	5	5	0
,	52848	52848	0
:	7811	7811	0
;	4314	4314	0
?	1872	1872	0
¡	6215	6215	0
«	3100	3100	0
»	6774	6774	0
¿	1872	1872	0
—	2799	2799	0
‘	43	43	0
’	82	82	0
“	877	877	0
”	1202	1202	0
.	42463	42460	3
O	600	8	592
Y	3546	1703	1843
A	8643	779	7864
y	45257	29370	15887
u	150369	2	150367
o	324617	866	323751
a	377583	27319	350264
e	451899	98	451801
