Grapheme	GraphFrequency	WordFrequency	Difference
!	423	423	0
(	41	41	0
)	41	41	0
.	10276	10276	0
:	33	33	0
;	79	79	0
?	992	992	0
‘	402	402	0
’	402	402	0
“	1874	1874	0
”	1874	1874	0
Y	3	2	1
,	14353	14336	17
O	33	3	30
E	126	2	124
A	3599	909	2690
y	9625	241	9384
o	20468	320	20148
e	48191	244	47947
i	64254	6	64248
a	221081	24130	196951
