Grapheme	GraphFrequency	WordFrequency	Difference
(	173	173	0
[	99	99	0
]	99	99	0
!	911	869	42
'	2025	1982	43
?	2709	2622	87
;	9699	9604	95
Å	116	1	115
»	11393	11084	309
:	8624	8272	352
9	700	47	653
7	745	49	696
8	758	35	723
6	840	46	794
5	1026	93	933
4	1107	75	1032
3	1519	49	1470
V	2286	1	2285
.	37285	34911	2374
-	2692	88	2604
2	3021	169	2852
,	62924	59832	3092
I	7795	4540	3255
1	4179	200	3979
A	4430	3	4427
O	8769	34	8735
ö	52538	5	52533
å	63342	31	63311
f	66838	1836	65002
v	73409	49	73360
m	109453	2	109451
i	149534	13878	135656
o	154059	141	153918
s	190631	4	190627
t	214685	1	214684
