Grapheme	GraphFrequency	WordFrequency	Difference
(	8	8	0
)	8	8	0
;	62	62	0
?	973	973	0
‘	381	381	0
’	380	380	0
“	2132	2132	0
!	793	792	1
”	1885	1884	1
.	8921	8919	2
,	13583	13579	4
j	1065	1	1064
L	1316	1	1315
c	5430	2	5428
'	5597	1	5596
f	9948	1	9947
d	10899	1	10898
h	38492	1	38491
e	61679	1	61678
i	72531	1	72530
