Grapheme	Frequency	Codepoint	UnicodeName
क्‍‍‍	9	U+0915, U+094D, U+200D, U+200D, U+200D	DEVANAGARI LETTER KA, DEVANAGARI SIGN VIRAMA, ZERO WIDTH JOINER, ZERO WIDTH JOINER, ZERO WIDTH JOINER
ख	1613	U+0916	DEVANAGARI LETTER KHA
ख‍	1	U+0916, U+200D	DEVANAGARI LETTER KHA, ZERO WIDTH JOINER
खा	1288	U+0916, U+093E	DEVANAGARI LETTER KHA, DEVANAGARI VOWEL SIGN AA
खा‍	1	U+0916, U+093E, U+200D	DEVANAGARI LETTER KHA, DEVANAGARI VOWEL SIGN AA, ZERO WIDTH JOINER
खां	23	U+0916, U+093E, U+0902	DEVANAGARI LETTER KHA, DEVANAGARI VOWEL SIGN AA, DEVANAGARI SIGN ANUSVARA
खि	164	U+0916, U+093F	DEVANAGARI LETTER KHA, DEVANAGARI VOWEL SIGN I
खि‍	1	U+0916, U+093F, U+200D	DEVANAGARI LETTER KHA, DEVANAGARI VOWEL SIGN I, ZERO WIDTH JOINER
खिं	3797	U+0916, U+093F, U+0902	DEVANAGARI LETTER KHA, DEVANAGARI VOWEL SIGN I, DEVANAGARI SIGN ANUSVARA
खी	132	U+0916, U+0940	DEVANAGARI LETTER KHA, DEVANAGARI VOWEL SIGN II
खु	886	U+0916, U+0941	DEVANAGARI LETTER KHA, DEVANAGARI VOWEL SIGN U
खू	60	U+0916, U+0942	DEVANAGARI LETTER KHA, DEVANAGARI VOWEL SIGN UU
खे	813	U+0916, U+0947	DEVANAGARI LETTER KHA, DEVANAGARI VOWEL SIGN E
खे‍	3	U+0916, U+0947, U+200D	DEVANAGARI LETTER KHA, DEVANAGARI VOWEL SIGN E, ZERO WIDTH JOINER
खै	16	U+0916, U+0948	DEVANAGARI LETTER KHA, DEVANAGARI VOWEL SIGN AI
खो	5270	U+0916, U+094B	DEVANAGARI LETTER KHA, DEVANAGARI VOWEL SIGN O
खो‍	3	U+0916, U+094B, U+200D	DEVANAGARI LETTER KHA, DEVANAGARI VOWEL SIGN O, ZERO WIDTH JOINER
खों	1	U+0916, U+094B, U+0902	DEVANAGARI LETTER KHA, DEVANAGARI VOWEL SIGN O, DEVANAGARI SIGN ANUSVARA
ख्	2690	U+0916, U+094D	DEVANAGARI LETTER KHA, DEVANAGARI SIGN VIRAMA
ख्‍	156	U+0916, U+094D, U+200D	DEVANAGARI LETTER KHA, DEVANAGARI SIGN VIRAMA, ZERO WIDTH JOINER
ख्‍‍	3	U+0916, U+094D, U+200D, U+200D	DEVANAGARI LETTER KHA, DEVANAGARI SIGN VIRAMA, ZERO WIDTH JOINER, ZERO WIDTH JOINER
ग	2769	U+0917	DEVANAGARI LETTER GA
ग‍	17	U+0917, U+200D	DEVANAGARI LETTER GA, ZERO WIDTH JOINER
ग‍‍	1	U+0917, U+200D, U+200D	DEVANAGARI LETTER GA, ZERO WIDTH JOINER, ZERO WIDTH JOINER
गा	5336	U+0917, U+093E	DEVANAGARI LETTER GA, DEVANAGARI VOWEL SIGN AA
गा‍	3	U+0917, U+093E, U+200D	DEVANAGARI LETTER GA, DEVANAGARI VOWEL SIGN AA, ZERO WIDTH JOINER
गि	904	U+0917, U+093F	DEVANAGARI LETTER GA, DEVANAGARI VOWEL SIGN I
गिं	27	U+0917, U+093F, U+0902	DEVANAGARI LETTER GA, DEVANAGARI VOWEL SIGN I, DEVANAGARI SIGN ANUSVARA
गी	6169	U+0917, U+0940	DEVANAGARI LETTER GA, DEVANAGARI VOWEL SIGN II
गु	2126	U+0917, U+0941	DEVANAGARI LETTER GA, DEVANAGARI VOWEL SIGN U
गू	2	U+0917, U+0942	DEVANAGARI LETTER GA, DEVANAGARI VOWEL SIGN UU
गे	19043	U+0917, U+0947	DEVANAGARI LETTER GA, DEVANAGARI VOWEL SIGN E
गे‍	63	U+0917, U+0947, U+200D	DEVANAGARI LETTER GA, DEVANAGARI VOWEL SIGN E, ZERO WIDTH JOINER
गें	58	U+0917, U+0947, U+0902	DEVANAGARI LETTER GA, DEVANAGARI VOWEL SIGN E, DEVANAGARI SIGN ANUSVARA
गै	26	U+0917, U+0948	DEVANAGARI LETTER GA, DEVANAGARI VOWEL SIGN AI
गो	10024	U+0917, U+094B	DEVANAGARI LETTER GA, DEVANAGARI VOWEL SIGN O
गों	5	U+0917, U+094B, U+0902	DEVANAGARI LETTER GA, DEVANAGARI VOWEL SIGN O, DEVANAGARI SIGN ANUSVARA
ग्	6027	U+0917, U+094D	DEVANAGARI LETTER GA, DEVANAGARI SIGN VIRAMA
ग्‍	3477	U+0917, U+094D, U+200D	DEVANAGARI LETTER GA, DEVANAGARI SIGN VIRAMA, ZERO WIDTH JOINER
ग्‍‍	4	U+0917, U+094D, U+200D, U+200D	DEVANAGARI LETTER GA, DEVANAGARI SIGN VIRAMA, ZERO WIDTH JOINER, ZERO WIDTH JOINER
ग्‍‍‍	1	U+0917, U+094D, U+200D, U+200D, U+200D	DEVANAGARI LETTER GA, DEVANAGARI SIGN VIRAMA, ZERO WIDTH JOINER, ZERO WIDTH JOINER, ZERO WIDTH JOINER
घ	25	U+0918	DEVANAGARI LETTER GHA
घा	4	U+0918, U+093E	DEVANAGARI LETTER GHA, DEVANAGARI VOWEL SIGN AA
घां	88	U+0918, U+093E, U+0902	DEVANAGARI LETTER GHA, DEVANAGARI VOWEL SIGN AA, DEVANAGARI SIGN ANUSVARA
घु	1	U+0918, U+0941	DEVANAGARI LETTER GHA, DEVANAGARI VOWEL SIGN U
घू	26	U+0918, U+0942	DEVANAGARI LETTER GHA, DEVANAGARI VOWEL SIGN UU
घो	1	U+0918, U+094B	DEVANAGARI LETTER GHA, DEVANAGARI VOWEL SIGN O
घ्‍	2	U+0918, U+094D, U+200D	DEVANAGARI LETTER GHA, DEVANAGARI SIGN VIRAMA, ZERO WIDTH JOINER
ङ	8968	U+0919	DEVANAGARI LETTER NGA
ङ‍	4	U+0919, U+200D	DEVANAGARI LETTER NGA, ZERO WIDTH JOINER
ङा	18287	U+0919, U+093E	DEVANAGARI LETTER NGA, DEVANAGARI VOWEL SIGN AA
ङा‍	1	U+0919, U+093E, U+200D	DEVANAGARI LETTER NGA, DEVANAGARI VOWEL SIGN AA, ZERO WIDTH JOINER
ङां	88	U+0919, U+093E, U+0902	DEVANAGARI LETTER NGA, DEVANAGARI VOWEL SIGN AA, DEVANAGARI SIGN ANUSVARA
ङी	297	U+0919, U+0940	DEVANAGARI LETTER NGA, DEVANAGARI VOWEL SIGN II
ङु	49	U+0919, U+0941	DEVANAGARI LETTER NGA, DEVANAGARI VOWEL SIGN U
ङे	76	U+0919, U+0947	DEVANAGARI LETTER NGA, DEVANAGARI VOWEL SIGN E
ङो	935	U+0919, U+094B	DEVANAGARI LETTER NGA, DEVANAGARI VOWEL SIGN O
ङों	3596	U+0919, U+094B, U+0902	DEVANAGARI LETTER NGA, DEVANAGARI VOWEL SIGN O, DEVANAGARI SIGN ANUSVARA
च	8120	U+091A	DEVANAGARI LETTER CA
च‍	4	U+091A, U+200D	DEVANAGARI LETTER CA, ZERO WIDTH JOINER
चा	18188	U+091A, U+093E	DEVANAGARI LETTER CA, DEVANAGARI VOWEL SIGN AA
