Grapheme	GraphFrequency	WordFrequency	Difference
(	196	196	0
:	2066	2066	0
=	54	54	0
—	2	2	0
?	3099	3098	1
‘	762	761	1
“	6079	6078	1
;	10579	10577	2
’	754	752	2
!	1621	1617	4
”	5526	5507	19
)	196	172	24
9	70	7	63
8	122	20	102
6	210	38	172
7	228	54	174
–	393	214	179
O	1346	1110	236
4	282	34	248
,	42332	42063	269
3	371	65	306
5	415	93	322
2	671	131	540
1	887	264	623
R	815	2	813
L	1096	3	1093
P	1527	2	1525
E	1627	14	1613
H	3253	163	3090
S	3619	2	3617
-	3635	8	3627
M	4010	5	4005
N	4463	33	4430
K	5592	2	5590
I	16292	10222	6070
T	12858	46	12812
A	18345	96	18249
.	29562	18	29544
l	91338	9	91329
k	177006	1	177005
i	227982	1	227981
a	322494	1629	320865
